,Comment,comment_clean,sentiment_scores,compound_score,sentence_sentiment
1040,"Despite a few challenges especially with some tools, he managed to set up the development environment for a mobile delivery App.",despite a few challenges especially with some tools he managed to set up the development environment for a mobile delivery app,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1042,"Joan did not require constant supervision
Joan's attendance record for these week was exceedingly proper..
She has continued to maintain a good working relationship with team members she was assigned to.","joan did not require constant supervision
joans attendance record for these week was exceedingly proper
she has continued to maintain a good working relationship with team members she was assigned to","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4404}",0.4404,Good
1043,"Some times internet issues are innevitable. Despite these challenges, Dauglas managed to complete this week's main task of setting up the database enviroment for the mobile app.",some times internet issues are innevitable despite these challenges dauglas managed to complete this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1044,"Despite afew coding errors which he successfully debugged, Alex managed to complete this week's tasks.",despite afew coding errors which he successfully debugged alex managed to complete this weeks tasks,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.6412}",0.6412,Good
1045,"Despite afew challenges, Joshua managed to complete this week's main task of setting up the database enviroment for the mobile App.",despite afew challenges joshua managed to complete this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1046,"Incase of internet connectivity issues, I encourage Francis to make use of recordings. He is also free to contact the Lead Developer for help any time.",incase of internet connectivity issues i encourage francis to make use of recordings he is also free to contact the lead developer for help any time,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8519}",0.8519,Excellent
1047,"She completed this week's tasks, that is, configuring routing protocols on layer 3 devices and installing application software on end devices.",she completed this weeks tasks that is configuring routing protocols on layer devices and installing application software on end devices,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1048,"Benon's attendance record for these week was exceedingly proper regardless of the network connection challenges.
He has continued to maintain a good working relationship with team members she was assigned to.
He is so inquisitive, asks to learn and he has been so attentive during all the trainings.","benons attendance record for these week was exceedingly proper regardless of the network connection challenges
he has continued to maintain a good working relationship with team members she was assigned to
he is so inquisitive asks to learn and he has been so attentive during all the trainings","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6642}",0.6642,Good
1049,Charlotte perfected all commands needed to activate / enable Interior Gateway routing protocols on layer 3 devices.,charlotte perfected all commands needed to activate  enable interior gateway routing protocols on layer devices,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5719}",0.5719,Good
1050,Martha should get used to debugging errors since it's part of coding.,martha should get used to debugging errors since its part of coding,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}",-0.34,Poor
1051,"Successfully completed his tasks, well elaborated  medium article.",successfully completed his tasks well elaborated  medium article,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.6486}",0.6486,Good
1052,Kenneth now has knowledge of writing USSD and SMS applications with PHP and MySQLi supported by Africa'sTalking API.,kenneth now has knowledge of writing ussd and sms applications with php and mysqli supported by africastalking api,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}",0.3182,Good
1053,"Kenneth has acquired knowledge of writing a payment integration in a web system. he can integrate MTN and Airtel Mobile money as well Paypal and card using PHP, MySQLi, HTML, and JS.",kenneth has acquired knowledge of writing a payment integration in a web system he can integrate mtn and airtel mobile money as well paypal and card using php mysqli html and js,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.2732}",0.2732,Good
1054,She's doing great,shes doing great,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,Good
1055,Advised to prepare a presentation to the team - basics of Sketch,advised to prepare a presentation to the team  basics of sketch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1056,"Despite afew coding challenges, Moses managed to successfully set up a database for the mobile app.",despite afew coding challenges moses managed to successfully set up a database for the mobile app,"{'neg': 0.066, 'neu': 0.76, 'pos': 0.174, 'compound': 0.4548}",0.4548,Good
1057,"Marvin managed to complete this week's main task, that is, setting up the database environment for the mobile App.",marvin managed to complete this weeks main task that is setting up the database environment for the mobile app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1058,A slow machine can frustrate any developer. So I encourage Edwin to upgrade his computer for better performance,a slow machine can frustrate any developer so i encourage edwin to upgrade his computer for better performance,"{'neg': 0.123, 'neu': 0.613, 'pos': 0.265, 'compound': 0.539}",0.539,Good
1059,"The tasks being worked on were not part of the initial plan, did anything change?",the tasks being worked on were not part of the initial plan did anything change,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1060,Norah managed to complete this week's tasks. She should also get used to debugging coding errors.,norah managed to complete this weeks tasks she should also get used to debugging coding errors,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.34}",-0.34,Poor
1061,"I an satisfied with the serialization of the data backend, specifically the auto formatting of model field types to native formats which simplifies the use of the data in end applications.",i an satisfied with the serialization of the data backend specifically the auto formatting of model field types to native formats which simplifies the use of the data in end applications,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4215}",0.4215,Good
1062,"Some times Rogers is distracted and is not motivated enough to fully concentrate. I encourage him to focus on the task at hand.  That aside, he managed to complete this week's task of setting up the database enviroment for the delivery App.",some times rogers is distracted and is not motivated enough to fully concentrate i encourage him to focus on the task at hand  that aside he managed to complete this weeks task of setting up the database enviroment for the delivery app,"{'neg': 0.098, 'neu': 0.765, 'pos': 0.136, 'compound': 0.4374}",0.4374,Good
1063,"Despite all the errors which he successfully debugged,  Warid managed to complete this week's tasks.",despite all the errors which he successfully debugged  warid managed to complete this weeks tasks,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.6412}",0.6412,Good
1064,"Leticia successfully completed this week's tasks. Because of transport challenge, I encourage her to plan her movements a bit early.",leticia successfully completed this weeks tasks because of transport challenge i encourage her to plan her movements a bit early,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.7783}",0.7783,Good
1065,"He successfully completed this week's main tasks, that is, configuring routing protocols on layers 3 devices and VLANs on layer 2 devices.",he successfully completed this weeks main tasks that is configuring routing protocols on layers devices and vlans on layer devices,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4939}",0.4939,Good
1066,Thanks Priscilla for remaining committed and persistent. Please interact more with your team members so that we can complete the project on time.,thanks priscilla for remaining committed and persistent please interact more with your team members so that we can complete the project on time,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.743}",0.743,Good
1067,"Katumba has acquired knowledge of integrating Mobile money and Credit card payment into a web system. using MySQLi, PHP, HTML, and JS",katumba has acquired knowledge of integrating mobile money and credit card payment into a web system using mysqli php html and js,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.3818,Good
1069,A slow computer can frustrate a developer.  So  I encourage Mwesigwa to upgrade his machine.,a slow computer can frustrate a developer  so  i encourage mwesigwa to upgrade his machine,"{'neg': 0.153, 'neu': 0.664, 'pos': 0.183, 'compound': 0.1477}",0.1477,Good
1070,Samson successfully deployed the messaging app online and it can be accessed by any one connected to internet. This offer is valid for 4 months.,samson successfully deployed the messaging app online and it can be accessed by any one connected to internet this offer is valid for months,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4939}",0.4939,Good
1071,Samuel should get used to debugging since it's part of coding.,samuel should get used to debugging since its part of coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1072,Good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Good
1073,Task accomplished on time.,task accomplished on time,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Good
1074,Reviewed the Kampala city HTML/CSS work. Very good initiative.,reviewed the kampala city htmlcss work very good initiative,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927}",0.4927,Good
1075,Great Progress,great progress,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7845}",0.7845,Good
1076,"Musumba's attendance record for these week was exceedingly proper regardless of the network connection challenges.
He has continued to maintain a good working relationship with team members she was assigned to.
He is so inquisitive, asks to learn and he has been so attentive during all the trainings.","musumbas attendance record for these week was exceedingly proper regardless of the network connection challenges
he has continued to maintain a good working relationship with team members she was assigned to
he is so inquisitive asks to learn and he has been so attentive during all the trainings","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6642}",0.6642,Good
1077,Pamella successfully set up the database enviroment for the mobile app. She should also get used to debugging errors.,pamella successfully set up the database enviroment for the mobile app she should also get used to debugging errors,"{'neg': 0.106, 'neu': 0.752, 'pos': 0.142, 'compound': 0.2023}",0.2023,Good
1078,Xavier managed to complete this week's main task of setting up the database enviroment for the mobile app. I also encourage him to contact the Lead developer incase of complicated concepts.,xavier managed to complete this weeks main task of setting up the database enviroment for the mobile app i also encourage him to contact the lead developer incase of complicated concepts,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.5106}",0.5106,Good
1079,He's passionate about Networking and completes all tasks assigned to him with ease.,hes passionate about networking and completes all tasks assigned to him with ease,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7096}",0.7096,Good
1080,More research and efforts needed in understanding the MVC architecture,more research and efforts needed in understanding the mvc architecture,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1081,"In coding, errors are innevitable. Jackson has to learn to deal with them (debugging).",in coding errors are innevitable jackson has to learn to deal with them,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.34}",-0.34,Poor
1082,"In coding, errors are innevitable. So Sandra should expect more errors when working on other projects (apps). Fortunately, errors can be debugged.",in coding errors are innevitable so sandra should expect more errors when working on other projects  fortunately errors can be debugged,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.7574}",-0.7574,Very Poor
1083,Please share the list of literature you read.  She's learned how to use pyaudioanalysis library,please share the list of literature you read  shes learned how to use pyaudioanalysis library,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5423}",0.5423,Good
1084,He successfully setup the database enviroment for the delivery App.,he successfully setup the database enviroment for the delivery app,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,Good
1085,Research on variables and conditions in c#,research on variables and conditions in c,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1086,"Joshua Kakembo, has effectively synchronized well with my team and it's a pleasure to have him with us for this period of internship. He provided a good evaluation of information from clients  I asked him to review. This week he has effectively and efficiently made updates on the Mobvet Ug Web App project and as well attended to the vehicle parking management system in Php and Mysql. 
Joshua's progress is noticeable.","joshua kakembo has effectively synchronized well with my team and its a pleasure to have him with us for this period of internship he provided a good evaluation of information from clients  i asked him to review this week he has effectively and efficiently made updates on the mobvet ug web app project and as well attended to the vehicle parking management system in php and mysql 
joshuas progress is noticeable","{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.9643}",0.9643,Excellent
1087,Nuhu successfully completed this week's main task of setting up the database environment for the mobile App.,nuhu successfully completed this weeks main task of setting up the database environment for the mobile app,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,Good
1088,Jacob walks to Stratcom for training sessions. I encourage him to continue walking because it's good for his health.,jacob walks to stratcom for training sessions i encourage him to continue walking because its good for his health,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7351}",0.7351,Good
1089,Lilian successfully completed this week's main task of setting up the database enviroment for the mobile App.,lilian successfully completed this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,Good
1090,"Despite a few challenges, Caroli managed to start internship at Stratcom",despite a few challenges caroli managed to start internship at stratcom,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1091,Emmanuel completed this week's tasks with out any challenges.,emmanuel completed this weeks tasks with out any challenges,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}",0.0772,Good
1092,"Thank you Shivan, please keep up the spirit. Interact more with your colleagues so that we can complete the assignment on time.",thank you shivan please keep up the spirit interact more with your colleagues so that we can complete the assignment on time,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6705}",0.6705,Good
1093,I have guided Nicholas on the working of the different technologies that he will be using to access and expose the data. He has done quick learners courses on the DRF and Odata endpoints and is ready to implement the solutions.,i have guided nicholas on the working of the different technologies that he will be using to access and expose the data he has done quick learners courses on the drf and odata endpoints and is ready to implement the solutions,"{'neg': 0.037, 'neu': 0.868, 'pos': 0.096, 'compound': 0.3818}",0.3818,Good
1094,More research needed on Objects and classes,more research needed on objects and classes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1095,Mwangi learnt the new skillset of online collaboration development,mwangi learnt the new skillset of online collaboration development,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1096,She successfully completed this week's main task of setting up the database environment for the mobile app.,she successfully completed this weeks main task of setting up the database environment for the mobile app,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,Good
1097,GIT hub collaborative development was the area of Focus for Apollo this week and he delivered with the team he worked with this week.,git hub collaborative development was the area of focus for apollo this week and he delivered with the team he worked with this week,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1098,Raymond managed to complete this week's main task of setting up the database enviroment for the mobile app.,raymond managed to complete this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1099,The devotion and effort your putting into this learning process is quite impressing. Please keep going.,the devotion and effort your putting into this learning process is quite impressing please keep going,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8545}",0.8545,Excellent
1100,Jacintah successfully  completed this week's main task of setting up the database enviroment for the mobile app.,jacintah successfully  completed this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,Good
1101,"The first milestone for the internship for analyzing and visualizing the first dataset has been completed. This analysis will be used to guide the creation of API's to expose and visualize the data through a web application by other team members.
I look forward to the analysis of the new data that has been shared with her.","the first milestone for the internship for analyzing and visualizing the first dataset has been completed this analysis will be used to guide the creation of apis to expose and visualize the data through a web application by other team members
i look forward to the analysis of the new data that has been shared with her","{'neg': 0.027, 'neu': 0.899, 'pos': 0.075, 'compound': 0.4404}",0.4404,Good
1102,Thank you Andrew for the diligence exhibited in the first assignment. I encourage you to carry this into the second assignment. I will get in touch with you and Trevor so that we can wrap up the first assignment and conduct User Acceptance Tests.,thank you andrew for the diligence exhibited in the first assignment i encourage you to carry this into the second assignment i will get in touch with you and trevor so that we can wrap up the first assignment and conduct user acceptance tests,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.8316}",0.8316,Good
1103,"Despite a few challenges, Daniel completed this week's main task. That is, setting up the development and database environment for a mobile delivery App.",despite a few challenges daniel completed this weeks main task that is setting up the development and database environment for a mobile delivery app,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1104,Great progress. Share any literature you read on audio generation,great progress share any literature you read on audio generation,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.8442}",0.8442,Good
1105,"Despite COVID restrictions, Resty has managed to come to Stratcom and complete this week's tasks.",despite covid restrictions resty has managed to come to stratcom and complete this weeks tasks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1106,The aim of this task was to introduce Mr. Kiyingi to how we approach business development. He did his research and submitted for Tender opportunities out of which we were able to submit a proposal for one. We haven't received communication from the Purchaser on who the tender was awarded to.,the aim of this task was to introduce mr kiyingi to how we approach business development he did his research and submitted for tender opportunities out of which we were able to submit a proposal for one we havent received communication from the purchaser on who the tender was awarded to,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.6486}",0.6486,Good
1107,Very Good performance from Isaac Sempiira,very good performance from isaac sempiira,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4927}",0.4927,Good
1108,"Mulema has obtained knowledge of working with PHP and SQL, he can write simple PHP scripts as well as SQL. He can also push code to his repository and deploy it to the remote server.",mulema has obtained knowledge of working with php and sql he can write simple php scripts as well as sql he can also push code to his repository and deploy it to the remote server,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.2732}",0.2732,Good
1110,Had development environment challenges but  was later sorted .,had development environment challenges but  was later sorted,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0387}",0.0387,Neutral
1111,"Ruth successfully completed this week's main task of setting up the database enviroment for the mobile App. Incase of poor network, I encourage her to make use of recordings and contact the Lead developer for guidance.",ruth successfully completed this weeks main task of setting up the database enviroment for the mobile app incase of poor network i encourage her to make use of recordings and contact the lead developer for guidance,"{'neg': 0.073, 'neu': 0.775, 'pos': 0.153, 'compound': 0.5267}",0.5267,Good
1112,Patricia managed to complete this week's main tasks that is ( configuring routing protocols on layers 3 devices and installing operating system ) without any challenge.,patricia managed to complete this weeks main tasks that is  without any challenge,"{'neg': 0.047, 'neu': 0.953, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Poor
1113,Successfully handled tasks of computer hardware and maintenance given to him,successfully handled tasks of computer hardware and maintenance given to him,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}",0.4939,Good
1114,Emilly successfully completed this week's main task of setting up the database enviroment for the mobile app.,emilly successfully completed this weeks main task of setting up the database enviroment for the mobile app,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,Good
1115,"Andrew's attendance record for these week was exceedingly proper regardless of the network connection challenges.
He has continued to maintain a good working relationship with team members he was assigned to.
He is so inquisitive, asks to learn and he has been so attentive during all the trainings.","andrews attendance record for these week was exceedingly proper regardless of the network connection challenges
he has continued to maintain a good working relationship with team members he was assigned to
he is so inquisitive asks to learn and he has been so attentive during all the trainings","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6642}",0.6642,Good
1116,Thanks Alex for the effort. Please interact more with me and the team. I will expand your team next week.,thanks alex for the effort please interact more with me and the team i will expand your team next week,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.7579}",0.7579,Good
1117,"I encourage Muyimba to continue walking to Stratcom after all, walking is good for his health.",i encourage muyimba to continue walking to stratcom after all walking is good for his health,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}",0.7351,Good
1118,"Rafusanjani has obtained knowledge on integrating payments into a web system using MySQLi, PHP, HTML, and JS.",rafusanjani has obtained knowledge on integrating payments into a web system using mysqli php html and js,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1119,Nothing is too hard or complicated to be done.   I encourage Ian to make use of internet and do more research on backend development.,nothing is too hard or complicated to be done   i encourage ian to make use of internet and do more research on backend development,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5568}",0.5568,Good
1120,Learnt new skill set of collaborative development using GIT HUB,learnt new skill set of collaborative development using git hub,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1121,The student presented to me the admin user interface which was successful,the student presented to me the admin user interface which was successful,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,Good
1123,Great work on re-enumeration of datasets. Let me know in case of any issues when setting up on Heroku,great work on reenumeration of datasets let me know in case of any issues when setting up on heroku,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.6249}",0.6249,Good
1124,A great step on setting up Pontoon. Focus on linking Pontoon to Github project that has sample strings now.,a great step on setting up pontoon focus on linking pontoon to github project that has sample strings now,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.6249}",0.6249,Good
1125,She has got a good introduction to PHP and she will learn more with time,she has got a good introduction to php and she will learn more with time,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,Good
1126,"Namale is slowly acquiring knowledge of writing real-world software to solve real work problems, she is in the process of knowing how to make payment integrations with Mobile Money and Card using simple HTML, JS, MySQLi, and PHP. Learning is a process",namale is slowly acquiring knowledge of writing realworld software to solve real work problems she is in the process of knowing how to make payment integrations with mobile money and card using simple html js mysqli and php learning is a process,"{'neg': 0.061, 'neu': 0.899, 'pos': 0.04, 'compound': -0.2263}",-0.2263,Poor
1127,"Derick  has obtained knowledge of making Mobile money and Credit card payment integration sung PHP, HTML, JS and MySQLi",derick  has obtained knowledge of making mobile money and credit card payment integration sung php html js and mysqli,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3818}",0.3818,Good
1128,Kenneth successfully completed this week's main task of setting up the database enviroment for the mobile delivery app. I also encourage him to always refer to recorded videos at the end of each session incase of unstable internet and to contact the Leader Developer for guidance.,kenneth successfully completed this weeks main task of setting up the database enviroment for the mobile delivery app i also encourage him to always refer to recorded videos at the end of each session incase of unstable internet and to contact the leader developer for guidance,"{'neg': 0.048, 'neu': 0.827, 'pos': 0.125, 'compound': 0.6124}",0.6124,Good
1129,Harnest completed this week's tasks without any challenges. He's doing well.,harnest completed this weeks tasks without any challenges hes doing well,"{'neg': 0.099, 'neu': 0.73, 'pos': 0.17, 'compound': 0.2211}",0.2211,Good
1130,"Did you complete the task for posting the chats to the remote server? If not, this is the task you should be working on.",did you complete the task for posting the chats to the remote server if not this is the task you should be working on,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1131,She managed to complete this week's main task of setting up the database environment for the mobile app.,she managed to complete this weeks main task of setting up the database environment for the mobile app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1132,"Mutamba Abudi has done very well on his first week as our Analyst intern, analysing all the metrics of the company's social media platforms.
He is a self-driven young man and from the way, I see it, a workaholic. He has performed all his duties as assigned to him in the first week neatly.
The only flaw observed in him as of this week, he still lacks a little bit of confidence when talking to a large group of people.
But all in all, we are very glad to have him as our intern and hope to grow his skills and the business as a whole in his internship.","mutamba abudi has done very well on his first week as our analyst intern analysing all the metrics of the companys social media platforms
he is a selfdriven young man and from the way i see it a workaholic he has performed all his duties as assigned to him in the first week neatly
the only flaw observed in him as of this week he still lacks a little bit of confidence when talking to a large group of people
but all in all we are very glad to have him as our intern and hope to grow his skills and the business as a whole in his internship","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.9136}",0.9136,Excellent
1134,"Using wire can now integrate Credit cards and a Mobile money payment in a web system using MySQL, PHP, HTML, and JS.",using wire can now integrate credit cards and a mobile money payment in a web system using mysql php html and js,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.3818,Good
1135,"Bazaale has acquired knowledge working with USSD and SMS applications, he can also make Mobile money and card integration in his web portal.",bazaale has acquired knowledge working with ussd and sms applications he can also make mobile money and card integration in his web portal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1136,This is completed successfully,this is completed successfully,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4939}",0.4939,Good
1137,Discussion completed successfully.,discussion completed successfully,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,Good
1138,Has clear understanding of GPRS service,has clear understanding of gprs service,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,Good
1139,Discussion through service flows went well.,discussion through service flows went well,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.2732}",0.2732,Good
1140,Finished Creative work and focused on networking.,finished creative work and focused on networking,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.6705}",0.6705,Good
1141,she is getting the understanding and basic concepts and managed to design a simple form,she is getting the understanding and basic concepts and managed to design a simple form,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1142,she managed to do multiple tasks assigned to her and balance them properly.,she managed to do multiple tasks assigned to her and balance them properly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1143,She is a fast learner and asks questions where she doesn't understand,she is a fast learner and asks questions where she doesnt understand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1144,Thank you Kenneth for all your efforts. I encourage you to strive towards attaining a higher level of consistency and punctuality. These two are critical aspects of personal discipline that greatly contributes to our success as professionals. Keep up the positive vibe and energy.,thank you kenneth for all your efforts i encourage you to strive towards attaining a higher level of consistency and punctuality these two are critical aspects of personal discipline that greatly contributes to our success as professionals keep up the positive vibe and energy,"{'neg': 0.041, 'neu': 0.685, 'pos': 0.274, 'compound': 0.9169}",0.9169,Excellent
1145,Thank you Racheal for all your efforts. I encourage you to mobilise and energise your team more so that the efforts of everybody are in sync. We need to bring this assignment to a close.,thank you racheal for all your efforts i encourage you to mobilise and energise your team more so that the efforts of everybody are in sync we need to bring this assignment to a close,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.8402}",0.8402,Good
1146,"Kaweesi can write a simple USSD and SMS application using the Africa'sTalking API. he can also write simple SQL commands like INSERT INTO, CREATE, SELECT, ORDER BY, DESC or ASC, etc. He can also execute these commands using PHP (MySQLi).",kaweesi can write a simple ussd and sms application using the africastalking api he can also write simple sql commands like insert into create select order by desc or asc etc he can also execute these commands using php,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.6523}",0.6523,Good
1147,Indicated progress on tasks assigned to the intern in week 4 reviewed and completion acknowledged.,indicated progress on tasks assigned to the intern in week reviewed and completion acknowledged,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}",0.4215,Good
1150,This was done,this was done,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1151,Challenged by the computer this week.,challenged by the computer this week,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Poor
1153,"Thank you Sharifa for always embracing leadership and its attendant challenges. I encourage you to take more time and understand this second assignment, which is not necessarily coding a website, but extending the functionality of a wordpress website by way of building a plugin to help in the management of some of the company operations on a day to day basis.",thank you sharifa for always embracing leadership and its attendant challenges i encourage you to take more time and understand this second assignment which is not necessarily coding a website but extending the functionality of a wordpress website by way of building a plugin to help in the management of some of the company operations on a day to day basis,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.765}",0.765,Good
